
165342,3.11,0.00,0.00
165347,3.11,0.00,0.00
165352,3.11,0.00,0.00
165357,3.11,0.00,0.00
165362,3.11,0.00,0.00
165367,3.11,0.00,0.00
165372,3.11,0.00,0.00
165377,3.11,0.00,0.00
165382,3.11,0.00,0.00
165387,3.11,0.00,0.00
165392,3.11,0.00,0.00
165397,3.11,0.00,0.00
165402,3.11,0.00,0.00
165407,3.11,0.00,0.00
165412,3.11,0.00,0.00
165417,3.11,0.00,0.00
165422,3.11,0.00,0.00
165427,3.11,0.00,0.00
165432,3.11,0.00,0.00
165437,3.11,-1.53,0.00
165442,3.11,0.00,0.00
165447,3.11,0.00,0.00
165452,3.11,0.00,0.00
165457,3.11,0.00,0.00
165462,3.11,0.00,0.00
165467,3.11,0.00,0.00
165472,3.11,0.00,0.00
165477,3.11,0.00,0.00
165482,3.11,0.00,0.00
165487,3.11,0.00,0.00
165492,3.11,0.00,0.00
165497,3.11,0.00,0.00
165502,3.11,0.00,0.00
165507,3.11,0.00,0.00
165512,3.11,0.00,0.00
165517,3.11,0.00,0.00
165522,3.11,0.00,0.00
165527,3.11,0.00,0.00
165532,3.11,0.00,0.00
165537,3.11,0.00,0.00
165542,3.11,0.00,0.00
165547,3.11,0.00,0.00
165552,3.11,0.00,0.00
165557,3.11,0.00,0.00
165562,3.11,0.00,0.00
165567,3.11,0.00,0.00
165572,3.11,1.53,0.00
165577,3.11,0.00,0.00
165582,3.11,0.00,0.00
165587,3.11,0.00,0.00
165592,3.11,0.00,0.00
165597,3.11,0.00,0.00
165602,3.11,0.00,0.00
165607,3.11,0.00,0.00
165612,3.11,0.00,0.00
165617,3.11,1.53,0.00
165622,3.11,0.00,0.00
165627,3.11,0.00,0.00
165632,3.11,0.00,0.00
165637,3.11,0.00,0.00
165642,3.11,0.00,0.00
165647,3.11,0.00,0.00
165652,3.11,1.53,0.00
165657,3.11,0.00,0.00
165662,3.11,0.00,0.00
165667,3.11,0.00,0.00
165672,3.11,0.00,0.00
165677,3.11,0.00,0.00
165682,3.11,0.00,0.00
